Código de medida,Línea/enfoque,Línea de acción,Título de medida,"Adaptación, Mitigación o Pérdidas y daños",Columna1,Etiquetas de fila,Cuenta de Código de medida
TJ-09,Transición laboral justa,Salud y seguridad en el trabajo y protección social,Fortalecimiento de los mecanismos de protección social ,Adaptación,,,
TJ-10,Transición laboral justa,Salud y seguridad en el trabajo y protección social,Promoción de la Salud y seguridad en los empleos verdes,Adaptación,,,
TJ-11,Transición laboral justa,Salud y seguridad en el trabajo y protección social,Fortalecer la coordinación inter-agencial en los sistemas de salud y seguridad,Adaptación,,,
TJ-12,Transición laboral justa,Salud y seguridad en el trabajo y protección social,Promover procesos de formalización laboral en el ámbito de los nuevos empleos verdes surgidos de los procesos de mitigación y adaptación ,Adaptación,,,
TJ-13,Transición laboral justa,Igualdad de oportunidades para el acceso a los nuevos puestos laborales que puedan generarse en la transición y respeto de los derechos laborales,"Identificar la distribución territorial de los puestos de trabajos que van a ser demandados por las industrias emergentes, así como los perfiles profesionales requeridos",Adaptación,,,
TJ-14,Transición laboral justa,Igualdad de oportunidades para el acceso a los nuevos puestos laborales que puedan generarse en la transición y respeto de los derechos laborales,Impulsar mecanismos de asistencia y apoyo para los trabajadores y sus familias que decidan trasladarse en respuesta a las oportunidades emergentes,Adaptación,,,
TJ-15,Transición laboral justa,Igualdad de oportunidades para el acceso a los nuevos puestos laborales que puedan generarse en la transición y respeto de los derechos laborales,Garantizar que los trabajadores que se desplazan tengan acceso a condiciones laborales adecuadas y a servicios sociales para ellos y sus familias,Adaptación,,,
FT-01,Financiamiento para la transición,Transversalización de criterios del cambio climático en la toma de decisiones para la gestión de recursos,Incorporar el etiquetado de la acción climática en el presupuesto nacional.,Adaptación y Mitigación,,,
FT-02,Financiamiento para la transición,Transversalización de criterios del cambio climático en la toma de decisiones para la gestión de recursos,Desarrollar una taxonomía de Finanzas Sostenibles,Adaptación y Mitigación,,,
FT-03,Financiamiento para la transición,Transversalización de criterios del cambio climático en la toma de decisiones para la gestión de recursos,Analizar una readecuación del impuesto al carbono vigente en el país u otros mecanismos e instrumentos de precio al carbono,Adaptación y Mitigación,,,
FT-04,Financiamiento para la transición,Transversalización de criterios del cambio climático en la toma de decisiones para la gestión de recursos,"Realizar un diagnóstico sobre los principales riesgos físicos y de transición a nivel nacional, regional y sectorial, así como su grado de exposición al cambio climático",Adaptación y Pérdidas y daños,,,
FT-05,Financiamiento para la transición,Transversalización de criterios del cambio climático en la toma de decisiones para la gestión de recursos,"Promover que el sector privado no financiero, se aproximen a estándares de divulgación y reportes sobre impacto climático",Adaptación,,,
FT-06,Financiamiento para la transición,Transversalización de criterios del cambio climático en la toma de decisiones para la gestión de recursos,"Desarrollar programas de educación financiera sobre criterios ambientales, sociales y de gobernanza, incluido el cambio climático",Adaptación,,,
FT-07,Financiamiento para la transición,Movilización y gestión de recursos para la acción climática,Institucionalizar un espacio de articulación público privada e implementar un plan de trabajo sobre acción climática con el sector privado,Adaptación y Mitigación,,,
FT-08,Financiamiento para la transición,Movilización y gestión de recursos para la acción climática,Formular e implementar una Estrategia Nacional de Finanzas Sostenibles,Adaptación y Mitigación,,,
FT-09,Financiamiento para la transición,Movilización y gestión de recursos para la acción climática,Formular e implementar una Estrategia Nacional de Financiamiento Climático Internacional,Adaptación y Mitigación,,,
FT-10,Financiamiento para la transición,Mecanismos innovadores,"Evaluación de la oportunidad, mérito y conveniencia de incursionar en transacciones asociadas al comercio de emisiones, sean estos en el marco de la implementación del artículo 6 del Acuerdo de París o en otros esquemas de mercado.",Adaptación y Mitigación,,,
FT-11,Financiamiento para la transición,Mecanismos innovadores,"Desarrollo de un Marco de Bonos Soberanos Sostenibles que defina los principios generales y específicos para emisiones de bonos temáticos verdes, sociales y/o sostenibles ",Adaptación y Mitigación,,,
FI-01,Fortalecimiento institucional,Actualización y adecuación normativa,"Apoyar a las provincias y a CABA en el desarrollo y adecuación de sus normativas locales en cumplimiento con los objetivos de la Ley n.° 27520 y de los compromisos y metas nacionales

",Adaptación y Mitigación,,,
FI-02,Fortalecimiento institucional,Actualización y adecuación normativa,"Formular las leyes o actos administrativos necesarios para garantizar la implementación de la Ley n.o 27520

",Adaptación y Mitigación,,,
FI-03,Fortalecimiento institucional,Actualización y adecuación normativa,Desarrollo de directrices sobre cambio climático para la elaboración de Estudios de Impacto Ambiental (EsIA),Adaptación y Mitigación,,,
FI-04,Fortalecimiento institucional,Actualización y adecuación normativa,Promover la Evaluación Ambiental Estratégica como herramienta para la acción climática,Adaptación y Mitigación,,,
FI-05,Fortalecimiento institucional,Actualización y adecuación normativa,Fortalecer las capacidades técnicas para incorporar el análisis de riesgos climáticos en los procesos de Evaluación Ambiental,Adaptación,,,
FI-06,Fortalecimiento institucional,"Gobernanza multinivel y multiactoral
",Institucionalizar los Diálogos Interculturales con pueblos indígenas,Adaptación y Mitigación,,,
FI-07,Fortalecimiento institucional,"Gobernanza multinivel y multiactoral
",Operacionalizar el sistema de monitoreo del PNAyMCC,Adaptación y Mitigación,,,
FI-08,Fortalecimiento institucional,"Gobernanza multinivel y multiactoral
",Fortalecer la Coordinación Técnica Administrativa del Gabinete Nacional de Cambio Climático (GNCC),Adaptación y Mitigación,,,
FI-09,Fortalecimiento institucional,"Gobernanza multinivel y multiactoral
",Apoyar a las provincias y a CABA en el desarrollo de sus espacios de gobernanza y participación para la formulación de planes de respuesta subnacionales,Adaptación y Mitigación,,,
FI-10,Fortalecimiento institucional,"Gobernanza multinivel y multiactoral
",Promover instrumentos e instancias idóneas para la prevención y el abordaje de conflictos complejos,Adaptación y Mitigación,,,
FI-11,Fortalecimiento institucional,Fortalecimiento de capacidades técnicas y de gestión,"Fortalecer a los equipos técnicos provinciales, de CABA y municipales en temas de cambio climático",Adaptación y Mitigación,,,
FI-12,Fortalecimiento institucional,Fortalecimiento de capacidades técnicas y de gestión,Apoyar a las provincias y a CABA en el desarrollo de sus planes de respuesta,Adaptación y Mitigación,,,
FI-13,Fortalecimiento institucional,Fortalecimiento de capacidades técnicas y de gestión,"Promover la formación integral en ambiente, con perspectiva de desarrollo sostenible y con especial énfasis en cambio climático, para las personas que se desempeñan en la función pública",Adaptación y Mitigación,,,
FI-14,Fortalecimiento institucional,Fortalecimiento de capacidades técnicas y de gestión,Fortalecer el marco institucional y las capacidades de las distintas áreas del gobierno nacional en cuanto a la transferencia de información meteorológica para contar con Servicios Climáticos de calidad,Adaptación,,,
FI-15,Fortalecimiento institucional,Procesos de planificación prospectiva ,Formular de manera participativa una Estrategia de desarrollo resiliente con bajas emisiones a Largo Plazo,Adaptación y Mitigación,,,
IN-01,"Investigación, desarrollo tecnológico e innovación",Generación de información climática,Desarrollar el Sistema Nacional de Información sobre Cambio Climático,"Adaptación, Mitigación y Pérdidas y daños",,,
IN-02,"Investigación, desarrollo tecnológico e innovación",Generación de información climática,Fortalecer la red de monitoreo meteorológico,Adaptación,,,
IN-03,"Investigación, desarrollo tecnológico e innovación",Generación de información climática,"Modernizar el flujo de datos para el acceso a la información para la población, tomadoras/es de decisiones gubernamentales y sectores productivos",Adaptación,,,
IN-04,"Investigación, desarrollo tecnológico e innovación",Generación de información climática,Promover la provisión de alertas meteorológicas basadas en impacto,Adaptación,,,
IN-05,"Investigación, desarrollo tecnológico e innovación",Generación de información climática,Crear líneas de trabajo y fortalecer las existentes vinculadas a migraciones climáticas,Pérdidas y daños,,,
IN-06,"Investigación, desarrollo tecnológico e innovación",Generación de información climática,Crear matrices migratorias de origen-destino a nivel de radio censal o municipio y superponer con capas generadas por el Sistema de Mapas de Riesgo del Cambio Climático (SIMARCC).,Pérdidas y daños,,,
IN-07,"Investigación, desarrollo tecnológico e innovación",Generación de información climática,Actualizar el Índice de Vulnerabilidad Social frente a Desastres (IVSD) con perspectiva de género,Adaptación,,,
IN-08,"Investigación, desarrollo tecnológico e innovación",Generación de información climática,Mejorar el sistema de información climática ,Adaptación,,,
IN-09,"Investigación, desarrollo tecnológico e innovación",Orientación de agendas de investigación,Promover proyectos de investigación y desarrollo destinados a brindar apoyo a organismos públicos en la búsqueda de soluciones a desafíos climáticos,"Adaptación, Mitigación y Pérdidas y daños",,,
IN-10,"Investigación, desarrollo tecnológico e innovación",Orientación de agendas de investigación,Fortalecer las capacidades para el estudio de la criósfera,Adaptación,,,
IN-11,"Investigación, desarrollo tecnológico e innovación","Promoción de soluciones innovadoras
",Fomentar la articulación y la coordinación entre las instituciones científicas y tecnológicas para el abordaje de temas asociados a la acción climática,"Adaptación, Mitigación y Pérdidas y daños",,,
IN-12,"Investigación, desarrollo tecnológico e innovación",Transferencia y extensión de conocimientos y tecnologías,"Promover el financiamiento de proyectos de generación y transferencia del conocimiento científico-tecnológico de alcance municipal, de CABA, provincial y regional","Adaptación, Mitigación y Pérdidas y daños",,,
IN-13,"Investigación, desarrollo tecnológico e innovación",Transferencia y extensión de conocimientos y tecnologías,Brindar incentivos a estudiantes universitarios para formarse en temáticas asociadas al cambio climático,"Adaptación, Mitigación y Pérdidas y daños",,,
CB-01,Conservación de la biodiversidad y bienes comunes,Uso sostenible de la biodiversidad,Promover la conservación y el uso sostenible de la biodiversidad en agroecosistemas,Adaptación,,,
CB-02,Conservación de la biodiversidad y bienes comunes,Uso sostenible de la biodiversidad,Fortalecer iniciativas de aprovechamiento sostenible de productos forestales no madereros,Adaptación,,,
CB-03,Conservación de la biodiversidad y bienes comunes,Uso sostenible de la biodiversidad,Fortalecer el uso sostenible de camélidos nativos ,Adaptación,,,
CB-04,Conservación de la biodiversidad y bienes comunes,Aumento de la superficie destinada a la conservación,Ampliar y fortalecer la Red de sitios Ramsar,Adaptación,,,
CB-05,Conservación de la biodiversidad y bienes comunes,Aumento de la superficie destinada a la conservación,Incorporar ecosistemas subrepresentados en áreas protegidas nacionales,Adaptación,,,
CB-06,Conservación de la biodiversidad y bienes comunes,Aumento de la superficie destinada a la conservación,Promover la inclusión de glaciares en áreas protegidas,Adaptación,,,
CB-07,Conservación de la biodiversidad y bienes comunes,Incremento de la conectividad a nivel de paisaje,Transversalizar la adaptación en planes de gestión de Parques Nacionales,Adaptación,,,
CB-08,Conservación de la biodiversidad y bienes comunes,Incremento de la conectividad a nivel de paisaje,Desarrollar alternativas de medios de vida para comunidades locales vulnerables en paisajes seleccionados,Adaptación,,,
CB-09,Conservación de la biodiversidad y bienes comunes,Manejo adaptativo de ecosistemas,Fortalecer el Manejo Costero Integrado,Adaptación,,,
CB-10,Conservación de la biodiversidad y bienes comunes,Manejo adaptativo de ecosistemas,Fortalecer prácticas de manejo adaptativo orientadas a la evaluación forrajera y manejo ganadero,Adaptación,,,
CB-11,Conservación de la biodiversidad y bienes comunes,Manejo adaptativo de ecosistemas,Fomentar el uso sostenible de humedales,Adaptación,,,
CB-12,Conservación de la biodiversidad y bienes comunes,Manejo adaptativo de ecosistemas,Diagnosticar y monitorear pesquerías bajo escenarios de cambio climático en el corredor fluvial Paraná-Paraguay,Adaptación,,,
CB-13,Conservación de la biodiversidad y bienes comunes,Manejo adaptativo de ecosistemas,Fortalecer la investigación aplicada para la conservación con perspectiva de cambio climático,Adaptación,,,
CB-14,Conservación de la biodiversidad y bienes comunes,Ordenamiento Ambiental del Territorio,Incorporar humedales y zonas costeras como infraestructura verde y azul como medidas de adaptación al cambio climático,Adaptación,,,
CB-15,Conservación de la biodiversidad y bienes comunes,Ordenamiento Ambiental del Territorio,Generar información con perspectiva climática para la gestión ambiental de los humedales ,Adaptación y Mitigación,,,
CB-16,Conservación de la biodiversidad y bienes comunes,Ordenamiento Ambiental del Territorio,Evitar la deforestación ilegal y reducir la deforestación legal,Adaptación y Mitigación,,,
CB-17,Conservación de la biodiversidad y bienes comunes,Ordenamiento Ambiental del Territorio,Promover la actualización del Ordenamiento Territorial de los Bosques Nativos,Adaptación y Mitigación,,,
CB-18,Conservación de la biodiversidad y bienes comunes,Ordenamiento Ambiental del Territorio,Elaborar cartografía de las zonas más vulnerables a la degradación de tierras y la desertificación debido a los factores climáticos en los futuros escenarios.,Adaptación,,,
CB-19,Conservación de la biodiversidad y bienes comunes,Ordenamiento Ambiental del Territorio,Elaborar de un diagnóstico de impactos y riesgos producto del cambio climáticos sobre ambientes glaciares,Adaptación,,,
CB-20,Conservación de la biodiversidad y bienes comunes,Ordenamiento Ambiental del Territorio,Generar criterios de identificación de suelos congelados con vistas a la elaboración de un plan para su relevamiento,Adaptación,,,
CB-21,Conservación de la biodiversidad y bienes comunes,Ordenamiento Ambiental del Territorio,Impulsar el Plan Regional de Adaptación al Cambio Climático del Delta del Río Paraná,Adaptación,,,
CB-22,Conservación de la biodiversidad y bienes comunes,Restauración y conservación de ecosistemas,Fortalecer el Programa de Conservación Inclusiva ,Adaptación,,,
CB-23,Conservación de la biodiversidad y bienes comunes,Restauración y conservación de ecosistemas,Controlar especies exóticas invasoras en territorios bajo administración de APN y otras áreas de influencia,Adaptación,,,
CB-24,Conservación de la biodiversidad y bienes comunes,Restauración y conservación de ecosistemas,Conservar y reducir la vulnerabilidad del sitio histórico la Calera del Palmar,Pérdidas y daños,,,
CB-25,Conservación de la biodiversidad y bienes comunes,Restauración y conservación de ecosistemas,Fortalecer el manejo del fuego en Parques Nacionales,Adaptación y Mitigación,,,
CB-26,Conservación de la biodiversidad y bienes comunes,Restauración y conservación de ecosistemas,Fortalecer el control de especies exóticas invasoras ,Adaptación,,,
CB-27,Conservación de la biodiversidad y bienes comunes,Restauración y conservación de ecosistemas,Promover prácticas de manejo sostenible de tierras mediante agricultura de conservación,Adaptación y Mitigación,,,
CB-28,Conservación de la biodiversidad y bienes comunes,Restauración y conservación de ecosistemas,Promover prácticas de manejo sostenible de tierras orientadas a controlar procesos de erosión eólica,Adaptación,,,
CB-29,Conservación de la biodiversidad y bienes comunes,Restauración y conservación de ecosistemas,Fortalecer prácticas de manejo sostenible de tierras orientadas a controlar procesos de erosión hídrica,Adaptación,,,
CB-30,Conservación de la biodiversidad y bienes comunes,Restauración y conservación de ecosistemas,Fortalecer prácticas para la cosecha de agua en áreas secas donde el déficit de humedad es el principal factor limitante,Adaptación,,,
CB-31,Conservación de la biodiversidad y bienes comunes,Restauración y conservación de ecosistemas,Fortalecer prácticas orientadas a disminuir la presión del pastoreo sobre tierras degradadas,Adaptación,,,
CB-32,Conservación de la biodiversidad y bienes comunes,Restauración y conservación de ecosistemas,Fortalecer prácticas que prevengan el incremento de la degradación o promuevan la restauración de suelos degradados,Adaptación,,,
CB-33,Conservación de la biodiversidad y bienes comunes,Restauración y conservación de ecosistemas,"Promover un abordaje multisectorial, interjurisdiccional e integral del manejo del fuego",Adaptación,,,
CB-34,Conservación de la biodiversidad y bienes comunes,Restauración y conservación de ecosistemas,Fortalecer los equipos técnicos y de combate asociados al manejo del fuego,Adaptación,,,
CB-35,Conservación de la biodiversidad y bienes comunes,Restauración y conservación de ecosistemas,Fortalecer el manejo de combustible vegetal para la prevención de incendios,Adaptación,,,
CB-36,Conservación de la biodiversidad y bienes comunes,Restauración y conservación de ecosistemas,Promover técnicas de recuperación y restauración de bosques,Adaptación y Mitigación,,,
CB-37,Conservación de la biodiversidad y bienes comunes,Restauración y conservación de ecosistemas,"Construir infraestructura sostenible, fiable, y resiliente para mejorar la gestión de los ecosistemas en la APN ",Adaptación,,,
CB-38,Conservación de la biodiversidad y bienes comunes,Restauración y conservación de ecosistemas,Promover prácticas de restauración de ecosistemas,Adaptación y Mitigación,,,
CB-39,Conservación de la biodiversidad y bienes comunes,Restauración y conservación de ecosistemas,"Fortalecer la red de ""Faros de conservación"" para la detección temprana de incendios",Adaptación y Mitigación,,,
GS-01,Gestión sostenible de sistemas alimentarios y bosques ,Conservación de suelos,Promover la rotación de cultivos,Adaptación y Mitigación,,,
GS-02,Gestión sostenible de sistemas alimentarios y bosques ,Eficiencia y diversificación de la producción,Mejorar el acceso al agua y el manejo hídrico,Adaptación,,,
GS-03,Gestión sostenible de sistemas alimentarios y bosques ,Eficiencia y diversificación de la producción,Impulsar la forestación,Mitigación,,,
GS-04,Gestión sostenible de sistemas alimentarios y bosques ,Eficiencia y diversificación de la producción,Promover el manejo sostenible de los sistemas productivos forestales,Adaptación,,,
GS-05,Gestión sostenible de sistemas alimentarios y bosques ,Eficiencia y diversificación de la producción,Eficientizar la producción ganadera,Mitigación,,,
GS-06,Gestión sostenible de sistemas alimentarios y bosques ,Eficiencia y diversificación de la producción,Reducir Pérdidas y Desperdicios de Alimentos,Adaptación y Mitigación,,,
GS-07,Gestión sostenible de sistemas alimentarios y bosques ,Eficiencia y diversificación de la producción,Fortalecer el agregado de valor agropecuario,Adaptación,,,
GS-08,Gestión sostenible de sistemas alimentarios y bosques ,Gestión de riesgos climáticos agroforestales y pesqueros,Mejorar caminos rurales,Adaptación,,,
GS-09,Gestión sostenible de sistemas alimentarios y bosques ,Gestión de riesgos climáticos agroforestales y pesqueros,Mejorar la infraestructura intrapredial y comunitaria rural.,Adaptación,,,
GS-10,Gestión sostenible de sistemas alimentarios y bosques ,Gestión de riesgos climáticos agroforestales y pesqueros,Mejorar la prevención agropecuaria ante eventos climáticos extremos,Adaptación,,,
GS-11,Gestión sostenible de sistemas alimentarios y bosques ,Gestión de riesgos climáticos agroforestales y pesqueros,Mejorar la respuesta de emergencias agropecuarias ante eventos climáticos,Adaptación,,,
GS-12,Gestión sostenible de sistemas alimentarios y bosques ,Gestión de riesgos climáticos agroforestales y pesqueros,Promover instrumentos de gestión del riesgo,Adaptación,,,
GS-13,Gestión sostenible de sistemas alimentarios y bosques ,Gestión de riesgos climáticos agroforestales y pesqueros,Fortalecer el registro de daños y pérdidas por eventos climáticos,Pérdidas y daños,,,
GS-14,Gestión sostenible de sistemas alimentarios y bosques ,Gestión de riesgos climáticos agroforestales y pesqueros,"Fortalecer las organizaciones, cooperativas y comunidades frente al cambio y la variabilidad climática",Adaptación,,,
GS-15,Gestión sostenible de sistemas alimentarios y bosques ,Gestión de riesgos climáticos agroforestales y pesqueros,Prevenir incendios forestales en Bosques Nativos,Adaptación y Mitigación,,,
GS-16,Gestión sostenible de sistemas alimentarios y bosques ,Gestión de riesgos climáticos agroforestales y pesqueros,"Fomentar la investigación, el desarrollo y la generación de información sobre el cambio y la variabilidad climática en el sector agropecuario, forestal y pesquero",Adaptación,,,
GS-17,Gestión sostenible de sistemas alimentarios y bosques ,Manejo integrado de agroecosistemas,Fomentar prácticas agroecológicas,Adaptación,,,
GS-18,Gestión sostenible de sistemas alimentarios y bosques ,Manejo integrado de agroecosistemas,Promover el manejo de Bosques con Ganadería integrada,Mitigación,,,
