0,1
Análisis enfoque de salud,A definir
Análisis enfoque de transición justa,A definir
Cobeneficios entre adaptación y mitigación,Esta medida no requiere análisis de cobeneficios.
Relación con la Ley 27.520,Capítulo III: Plan Nacional de Adaptación y Mitigación al Cambio\nClimático. Artículo 18. Inc. b).
Medida,[GR-04] Fortalecer el diagnóstico de impactos y riesgos sobre\nlos distintos ecosistemas del país
,[GR-04] Fortalecer el diagnóstico de impactos y riesgos sobre
,los distintos ecosistemas del país
Descripción,"Identificación de vulnerabilidades de los diferentes ecosistemas del\npaís frente al cambio climático y a los usos de suelo. Además, se prevé\nla realización de modelaciones hídricas que permitan estimar cambios\nen balances hídricos a escala de cuenca, para diferentes usos de la\ntierra y diferentes proyecciones climáticas."
Metas,Al 2025:\nSe cuenta con una evaluación de la vulnerabilidad de los\necosistemas (de las 18 ecorregiones) frente al cambio y la\nvariabilidad climática y al cambio de uso del suelo.\nSe cuenta con cartografías que indiquen cambios en los\nbalances hídricos en 10 cuencas priorizadas del país en\ndiferentes escenarios climáticos y de cambio de uso del suelo.
Alcance geográfico o poblacional,Nacional
"Adaptación, mitigación o pérdidas y daños",Adaptación
Riesgos climáticos asociados,Es transversal a todos los riesgos priorizados.
Reducción estimada de emisiones al 2030 (MtCO2e),N/A
Autoridad de aplicación,Ministerio de Ambiente y Desarrollo Sostenible
[GR-04] Fortalecer el diagnóstico de impactos y riesgos sobre los distintos ecosistemas del país,
[GR-04] Fortalecer el diagnóstico de impactos y riesgos sobre,
los distintos ecosistemas del país,
Estado de implementación,En programación
Período de ejecución,2023 - 2025
Estimación de gastos al 2030,150.000 de USD
Financiamiento,Fuentes internacionales
Instrumentos y herramientas de implementación,Proyectos sobre cambio climático con financiamiento\ninternacional (NDC Action y otros).
Necesidades y barreras,Falta de metodología unificada a nivel internacional para evaluar\nla vulnerabilidad de los ecosistemas frente a amenazas climáticas\ny no climáticas.\nInsuficiente implementación de metodologías de estimación de\nvariables hidrológicas con consideraciones de cambio climático.\nGran extensión territorial nacional.
Indicadores para el monitoreo.,"Cantidad de ecorregiones con evaluación de la vulnerabilidad\nfrente al cambio y la variabilidad climática y frente a cambios de\nuso del suelo.\nCantidad de cuencas con estimación de balance hídrico en función\ndel cambio, variabilidad climática y frente a cambios de uso del\nsuelo."
Análisis enfoque de género y diversidad,No reporta impactos relativos al género.
Análisis enfoque de gestión integral del,Medida que genera reducción del riesgo climático.
riesgo,
Análisis enfoque de salud,A definir
Análisis enfoque de transición justa,A definir
Cobeneficios entre adaptación y mitigación,No se identifican sinergias ni concesiones con la reducción de\nemisiones GEI.
Relación con la Ley 27.520,Capítulo IV. Medidas y Acciones Mínimas de Adaptación. Artículo 22.\nInc. a) y d).
Medida,[GR-05] Promover la incorporación del enfoque de cambio\nclimático en los Planes de Gestión Integral del Riesgo a nivel\nlocal
Descripción,Desarrollo de capacitaciones y asesoramiento técnico para incorporar\nla perspectiva de cambio climático en los Planes de Gestión Integral\ndel Riesgo a nivel local.
Metas,"Al 2025, todas las provincias y CABA que cuenten con Planes de\nGestión Integral del Riesgo recibieron al menos una capacitación y/o\nasesoramiento sobre la incorporación de cambio climático en dichos\ninstrumentos.\nAl 2030, el 50% de los municipios del país que cuenten con Planes de\nGestión Integral del Riesgo a nivel local recibieron al menos una\ncapacitación y/o asesoramiento sobre la incorporación de cambio\nclimático."
Alcance geográfico o poblacional,Nacional
"Adaptación, mitigación o pérdidas y daños",Adaptación
Riesgos climáticos asociados,Es transversal a todos los riesgos.
Reducción estimada de emisiones al 2030 (MtCO2e),N/A
Autoridad de aplicación,Ministerio de Ambiente y Desarrollo Sostenible\nMinisterio Seguridad
Estado de,En implementación inicial
implementación,
Período de ejecución,2022 - 2030
Estimación de gastos al 2030,50.000 de USD
Financiamiento,Fuentes internacionales
Instrumentos y herramientas de implementación,Plan Nacional de Adaptación y Mitigación al Cambio Climático.\nPlan Nacional de Reducción de Riesgos de Desastres.\nPortal de capacitación INAP.
Necesidades y barreras,"Necesidad de fortalecer las capacidades de los gobiernos\nsubnacionales.\nExistencia de rotación de equipos técnicos no son fijos, es difícil\nque la capacidad quede instalada luego del proceso de\ncapacitación."
Indicadores para el monitoreo.,Cantidad de capacitaciones y asesorías brindadas sobre la\nincorporación de cambio climático.\nCantidad de jurisdicciones subnacionales que recibieron  al menos\nuna capacitación y/o asesoramiento sobre la incorporación de\ncambio climático.\nCantidad de municipios que recibieron  al menos una capacitación\ny/o asesoramiento sobre la incorporación de cambio climático.
Análisis enfoque de género y diversidad,Potencialmente transformadora de las brechas de género.
Análisis enfoque de gestión integral del riesgo,Medida que genera reducción del riesgo climático.
Análisis enfoque de salud,A definir
Análisis enfoque de transición justa,A definir
Cobeneficios entre adaptación y mitigación,"La definición de criterios con enfoque de cambio climático, para su\naplicación en la etapa de rehabilitación y recuperación, puede aportar a\nla implementación de medidas de mitigación. Por ejemplo, en la\nejecución de nuevas infraestructuras."
Relación con la Ley 27.520,Capítulo IV: Medidas y Acciones Mínimas de Adaptación. Artículo 22.\nInc. d).
Medida,"[GR-06] Promover el uso de sistemas de información geográfica\n(SIG) en los equipos técnicos de provincias, CABA y municipios"
Descripción,Desarrollo de capacitaciones y asesoramiento técnico para la\nimplementación de SIG en todas las jurisdicciones subnacionales y\nmunicipios para la elaboración de sus Planes de Respuesta y de sus\nPlanes de Gestión Integral del Riesgo.
Metas,"Al 2025, todas las provincias y CABA recibieron al menos una\ncapacitación y/o asesoramiento sobre SIG.\nAl 2030, el 50% de los municipios del país que cuenten con Planes de\nGestión Integral del Riesgo a nivel local recibieron al menos una\ncapacitación y/o asesoramiento sobre SIG."
Alcance geográfico o poblacional,Nacional
"Adaptación, mitigación o pérdidas y daños",Adaptación
Riesgos climáticos asociados,Es transversal a todos los riesgos.
Reducción estimada de emisiones al 2030 (MtCO2e),N/A
Autoridad de aplicación,Ministerio de Seguridad\nMinisterio de Ambiente y Desarrollo Sostenible
Estado de implementación,En implementación inicial
Período de ejecución,2022 - 2030
Estimación de gastos al 2030,20.000 de USD
Financiamiento,Fuentes internacionales
Instrumentos y herramientas de implementación,Capacitaciones regionales de la Dirección Nacional de Cambio\nClimático.\nPlan Nacional de Reducción de Riesgos de Desastres.\nPortal de capacitación INAP.
Necesidades y barreras,"Necesidad de recursos para generar el contenido, contratar\ncapacitadores, traslados y logística in situ."
Indicadores para el monitoreo.,Cantidad de capacitaciones y asesorías brindadas sobre SIG.\nCantidad de jurisdicciones subnacionales que recibieron\ncapacitaciones y/o asesorías sobre SIG.\nCantidad de municipios que recibieron  al menos una capacitación\ny/o asesoramiento sobre SIG.
Análisis enfoque de género y diversidad,A definir
Análisis enfoque de gestión integral del riesgo,Medida que genera reducción del riesgo climático.
Análisis enfoque de salud,A definir
Análisis enfoque de transición justa,A definir
Cobeneficios entre adaptación y mitigación,No se identifican sinergias ni concesiones con la reducción de\nemisiones GEI.
Relación con la Ley 27.520,Capítulo IV. Medidas de Adaptación. Artículo  22. Inc. d).
Medida,[GR-07] Construir una visión consensuada respecto a la GIR y\nadaptación en la República Argentina e incorporar en el PNRRD\n(2018-2023)
Descripción,"Transversalización del enfoque de adaptación en el Plan Nacional para\nla Reducción del Riesgo de Desastres (PNRRD), a través del trabajo de\nla Comisión Técnica N°8 de SINAGIR e incorporación de enfoque de\ngestión integral del riesgo en el proceso de programación e\nimplementación de las medidas del presente plan."
Metas,"Al 2023, se cuenta con una visión nacional sobre la gestión del riesgo y\nla adaptación, para su incorporación en la próxima actualización del\nPNAyMCC y el PNRRD."
Alcance geográfico o poblacional,Nacional
"Adaptación, mitigación o pérdidas y daños",Adaptación
Riesgos climáticos asociados,Es transversal a todos los riesgos.
Reducción estimada de emisiones al 2030 (MtCO2e),N/A
Autoridad de aplicación,Ministerio de Seguridad\nMinisterio de Ambiente y Desarrollo Sostenible
Estado de implementación,En implementación inicial
Período de ejecución,2023 - 2030
Estimación de gastos al 2030,5.000 de USD
Financiamiento,Proyecto ARG 19/003 Apoyo a la elaboración del Plan Nacional de\nAdaptación\nOtras fuentes internacionales
Instrumentos y herramientas de implementación,Plan Nacional de Reducción de Riesgos de Desastres
Necesidades y barreras,"Necesidad de articular las concepciones teórico metodológicas\nque utiliza cada área competente, para fortalecer y unificar esta\ndimensión de la política climática nacional."
Indicadores para el monitoreo,Documento que contenga elaborado la visión consensuada a\nnivel nacional sobre GIR y adaptación
Análisis enfoque de género y diversidad,Potencialmente transformadora de las brechas de género.
Análisis enfoque de gestión integral del riesgo,Medida que genera reducción del riesgo climático.
Análisis enfoque de salud,A definir
Análisis enfoque de transición justa,A definir
Cobeneficios entre adaptación y mitigación,No se identifican sinergias ni concesiones con la reducción de\nemisiones GEI.
Relación con la Ley 27.520,Capítulo III: Plan Nacional de Adaptación y Mitigación al Cambio\nClimático. Artículo 18. Inc. c).
Medida,[SA-01] Fortalecer y sostener un Programa Nacional y una mesa\nde trabajo de cambio climático al interior del Ministerio de Salud
Descripción,Implementación y sostenimiento del Programa nacional de reducción\nde riesgos para la salud asociados al cambio climático y de la mesa de\ntrabajo al interior del Ministerio de Salud.
Metas,A definir
Alcance geográfico o poblacional,Nacional
"Adaptación, mitigación o pérdidas y daños",Adaptación y mitigación
Riesgos climáticos asociados,"La medida contribuye a generar las condiciones habilitantes para el\ndiseño e implementación de medidas de adaptación. De esta manera,\nla medida puede generar una reducción de diversos riesgos climáticos\nasociados a la salud."
Reducción estimada de emisiones al 2030 (MtCO2e),N/A
Autoridad de aplicación,Ministerio de Salud
Estado de implementación,"En implementación avanzada\nNota: el Programa Nacional de Reducción de Riesgos para la salud\nasociados al cambio climático fue creado mediante la Resolución MS\nN° 555/2021, mientras que la Mesa de Trabajo sobre Cambio Climático\ny Salud se creó por Resolución MS No 2956/2021."
Período de ejecución,"2018-Continua\n\nNota: la Mesa de Trabajo sobre Cambio Climático y Salud se conformó\nen el 2018 y en el 2021 se formalizó. La Mesa de Trabajo se encuentra\ninstitucionalizada, por ello operará de manera sostenida en el tiempo."
Estimación de gastos al 2030,A definir
Financiamiento,"Tesoro Nacional\nFuentes internacionales\nNota: El Programa se financiará con el presupuesto de la Coordinación\nde Salud Ambiental, y eventualmente con los recursos que aporten\norganismos internacionales y otras instituciones para actividades\nespecíficas."
,Fuentes internacionales
Instrumentos y herramientas de implementación,"El Programa Nacional es la herramienta con que dispone la\nautoridad sanitaria en materia de cambio climático, como\ndeterminante ambiental de la salud, fortaleciendo las políticas\npúblicas sanitarias nacionales y constituyéndose en un espacio de\nconsulta y referencia del tema a nivel país y de la región.\nLa aplicabilidad y sostenibilidad de las acciones del presente\nPrograma se basan en las siguientes estrategias: abordaje\ntransversal, interdisciplinario y multisectorial; abordaje\ninterjurisdiccional; trabajo en red; fortalecimiento de capacidades\ntécnicas; y mejora continua."
Necesidades y barreras,A definir
Indicadores para el monitoreo,Cantidad de reuniones anuales de la Mesa de Trabajo sobre Cambio\nClimático y Salud.
Análisis enfoque de género y diversidad,Potencialmente transformadora de las brechas de género.
"Tesoro Nacional Fuentes internacionales Nota: El Programa se financiará con el presupuesto de la Coordinación de Salud Ambiental, y eventualmente con los recursos que aporten organismos internacionales y otras instituciones para actividades específicas.",
Fuentes internacionales,
Análisis enfoque de gestión integral del riesgo,Medida que reduce el riesgo climático.
Análisis enfoque de salud,N/A
Análisis enfoque de transición justa,A definir
Cobeneficios entre adaptación y mitigación,Esta medida no requiere análisis de cobeneficios. Aporta a la\nadaptación y la mitigación.
Relación con la Ley 27.520,Capítulo III: Plan Nacional de Adaptación y Mitigación al Cambio\nClimático. Artículo 18. Inc. c) y f).\nCapítulo IV: Medidas y Acciones Mínimas de Adaptación. Artículo 22.\nInc. b).
Medida,[SA-02] Promover la creación de mesas de trabajo sobre cambio\nclimático y salud en los Ministerio de Salud de las provincias
Descripción,"Apoyo a las jurisdicciones para la constitución de mesas de trabajo\nsobre cambio climático y salud al interior de los Ministerios de Salud,\npropiciando la equidad de género y diversidad en su conformación."
Metas,"A 2030, se conforman mesas de trabajo sobre cambio climático y salud\nal menos en ocho provincias."
Alcance geográfico o poblacional,Nacional
"Adaptación, mitigación o pérdidas y daños",Adaptación y mitigación
Riesgos climáticos asociados,"La medida contribuye a generar las condiciones habilitantes para el\ndiseño e implementación de medidas de adaptación. De esta manera,\nla medida puede generar una reducción de diversos riesgos climáticos\nasociados a la salud."
Reducción estimada de emisiones al 2030 (MtCO2e),N/A
Autoridad de aplicación,"Coordinación de Salud Ambiental, Ministerio de Salud"
Estado de implementación,"En implementación inicial.\nNota: la Resolución MS 2956/2021 invita a las provincias y a la CABA a\nconformar mesas de trabajo sobre cambio climático y salud. El\nproyecto Readiness conformará mesas en tres provincias (Misiones,\nTucumán y Neuquén)."
Período de ejecución,2022-continúa\nNota: finalizado el Proyecto Readiness iniciado en junio de 2022 (plazo\n18 meses) se continuará con la medida por parte del Ministerio de\nSalud  sin fecha de finalización.
Estimación de gastos al 2030,A definir
Financiamiento,Tesoro Nacional\nProyecto Readiness del Fondo Verde del Clima.
Instrumentos y herramientas de implementación,Mediante la Resolución MS 2956/2021 se invita a las provincias y a la\nCABA a conformar mesas de trabajo sobre cambio climático y salud.
Necesidades y barreras,"La autonomía de las provincias puede significar una barrera a la\nhora de la definición de sus prioridades.\nNecesidad de financiamiento para equipo técnico, organización y\nel apoyo de las mesas de trabajo"
Indicadores para el monitoreo,Cantidad de provincias que han constituido espacios de articulación\nsobre cambio climático y salud.
Análisis enfoque de género y diversidad,Potencialmente transformadora de las brechas de género.
Análisis enfoque de gestión integral del riesgo,Medida que reduce el riesgo climático.
Análisis enfoque de salud,N/A
Análisis enfoque de transición justa,A definir
Cobeneficios entre adaptación y mitigación,Esta medida no requiere análisis de cobeneficios. Aporta a la\nadaptación y la mitigación.
Relación con la Ley 27.520,Capítulo III: Plan Nacional de Adaptación y Mitigación al Cambio\nClimático. Artículo 18. Inc. c).\nCapítulo IV: Medidas y Acciones Mínimas de Adaptación. Artículo 22.\nInc. b).
Medida,[SA-03] Fortalecer las capacidades de los equipos de salud\nacerca de los efectos de la variabilidad climática y el cambio\nclimático sobre la salud
Descripción,"Desarrollo de capacitaciones para equipos de salud sobre los vínculos\nentre el cambio climático y la salud (incluyendo acciones de\nprevención, diagnóstico, vigilancia y tratamiento), que tome en\nconsideración los enfoques transversales de género y diversidad, de\ncursos de vida, de gestión integral del riesgo, de transición justa y de\nUna Salud."
Metas,"Al 2030, se cuenta con un curso de capacitación para equipos de salud\nsobre cambio climático y salud y con profesionales capacitados en las\n23 provincias y en la CABA."
Alcance geográfico o poblacional,Nacional
"Adaptación, mitigación o pérdidas y daños",Adaptación
Riesgos climáticos asociados,"La medida aborda los riesgos asociados a cambios en los patrones de\nprecipitaciones, temperatura media y humedad relativa, así como en la\nfrecuencia, duración e intensidad de eventos meteorológicos\nextremos, mediante una mejora en la comprensión de la relación entre\nclima y salud por parte de los equipos de salud que aumenta la\ncapacidad de respuesta del sistema de salud en su conjunto."
Reducción estimada de emisiones al 2030 (MtCO2e),N/A
Autoridad de aplicación,Ministerio de Salud
Estado de implementación,En programación
Período de ejecución,2021-2030\nNota: Proyecto Readiness: 18 meses desde junio 2022. A partir de 2023\nel proyecto continuará con la medida por parte del Ministerio de Salud\nsin fecha de finalización.
Estimación de gastos al 2030,A definir
Financiamiento,Tesoro Nacional (Presupuesto del Ministerio de Salud)\nFuentes internacionales (Proyecto Readiness del Fondo Verde del\nClima)
Instrumentos y herramientas de implementación,Capacitaciones virtuales apoyadas por la Coordinación de\nTelesalud del Ministerio de Salud.
Necesidades y barreras,Necesidad de financiamiento para sostener las capacitaciones\ndespués del año  2023.\nBarrera: No todas las provincias cuentan con áreas de salud y\ncambio climático.
Indicadores para el monitoreo,Cantidad de personas capacitadas en cambio climático y salud
Análisis enfoque de género y diversidad,Transformadora de las brechas de género.
Análisis enfoque de gestión integral del riesgo,Medida que reduce el riesgo climático.
Análisis enfoque de salud,N/A
Análisis enfoque de transición justa,A definir
Cobeneficios entre adaptación y mitigación,No se identifican sinergias ni concesiones con la reducción de\nemisiones del sector.
Relación con la Ley 27.520,Capítulo IV: Medidas y Acciones Mínimas de Adaptación. Artículo 22.\nInc. b) y d).
Medida,[SA-04] Sensibilizar a la comunidad acerca de los efectos de la\nvariabilidad climática y el cambio climático sobre la salud
Descripción,"Desarrollo de contenidos de comunicación para aumentar el\nconocimiento y la conciencia de la población general en la temática,\ntomando en consideración los enfoques transversales de género y\ndiversidad, de cursos de vida, de gestión integral del riesgo, de\ntransición justa y de una salud."
Metas,"Al 2030, se cuenta con una estrategia de comunicación para la\npoblación general que considere diferentes efectos del cambio\nclimático en la salud."
Alcance geográfico o poblacional,Nacional
"Adaptación, mitigación o pérdidas y daños",Adaptación
Riesgos climáticos asociados,"La medida aborda los riesgos asociados a cambios en los patrones de\nprecipitaciones, temperatura media y humedad relativa, así como en la\nfrecuencia, duración e intensidad de eventos meteorológicos\nextremos, mediante la promoción de una mejor en la comprensión de\nla relación entre clima y salud de la población en general, aumentando\nla capacidad de respuesta de la población en su conjunto."
Reducción estimada de emisiones al 2030 (MtCO2e),N/A
Autoridad de aplicación,Ministerio de Salud
Estado de implementación,En programación
Período de ejecución,2023-2030\n\nNota: Proyecto Readiness: 18 meses (junio 2022 a dic 2023).\nA partir de 2023 el proyecto se continuará con la medida por parte del\nMinisterio de Salud sin fecha de finalización.
Estimación de gastos al 2030,A definir
Financiamiento,Tesoro Nacional (presupuesto del Ministerio de Salud)\nFuentes internacionales (Proyecto Readiness del Fondo Verde del\nClima)
Instrumentos y herramientas de implementación,Capacitaciones virtuales apoyadas por la Coordinación de Telesalud\ndel Ministerio de Salud.
Necesidades y barreras,A definir
Indicadores para el monitoreo,Cantidad de personas capacitadas en cambio climático y salud
Análisis enfoque de género y diversidad,A definir
Análisis enfoque de gestión integral del riesgo,Medida que reduce el riesgo climático.
Análisis enfoque de salud,N/A
Análisis enfoque de transición justa,A definir
Cobeneficios entre adaptación y mitigación,No se identifican sinergias ni concesiones con la reducción de\nemisiones del sector.
Relación con la Ley 27.520,Capítulo III: Plan Nacional de Adaptación y Mitigación al Cambio\nClimático. Artículo 19. Inc. k).\nCapítulo IV: Medidas y Acciones Mínimas de Adaptación. Artículo 22.\nInc. b).
Medida,"[SA-05] Fortalecer la capacidad de respuesta del sector salud, a\npartir de la obtención de  información oportuna sobre eventos\nde temperatura extrema (de calor y de frío)"
Descripción,Fortalecimiento y actualización del Sistema de Alerta Temprana por\nTemperaturas Extremas (calor y frío).
Metas,"Al 2030, se cuenta con un Sistema de Alerta Temprana por\ntemperaturas extremas actualizado con dos módulos, uno de calor y\notro de frío, con alcance nacional."
Alcance geográfico o poblacional,Nacional
"Adaptación, mitigación o pérdidas y daños",Adaptación
Riesgos climáticos asociados,"La medida aborda los riesgos para la salud asociados a los cambios en\nla frecuencia, duración e intensidad de eventos climáticos extremos de\ncalor y frío para robustecer los sistemas de salud, mediante la\nimplementación del sistema de alerta temprana por olas de frío y el\nfortalecimiento del sistema de alerta temprana por olas de calor."
Reducción estimada de emisiones al 2030 (MtCO2e),N/A
Autoridad de aplicación,Servicio Meteorológico Nacional (SMN)
Estado de implementación,En implementación avanzada\nNota: Se cuenta con un Sistema de Alerta Temprana por\nTemperaturas Extremas (SAT-TE) del SMN que alerta por calor y en\n2022 iniciará la operación de su componente para frío extremo.
Período de ejecución,2022-2030
Estimación de gastos al 2030,A definir
Financiamiento,Tesoro Nacional
Instrumentos y herramientas de implementación,Sistema de Alerta Temprana del Servicio Meteorológico Nacional.
Necesidades y barreras,Necesidades:\nAjuste de la comunicación con otras áreas del Estado Nacional\npara tener una comunicación adecuada.\nRecursos financieros para sostener la estrategia de comunicación\ndespués del año 2023.
Indicadores para el monitoreo,Sistema de alerta temprana implementado y operativo
Análisis enfoque de género y diversidad,A definir
Análisis enfoque de gestión integral del riesgo,Medida con reducción del riesgo climático.
Análisis enfoque de salud,N/A
Análisis enfoque de transición justa,A definir
Cobeneficios entre adaptación y mitigación,No se identifican sinergias ni concesiones con la reducción de\nemisiones del sector.
Relación con la Ley 27.520,Capítulo IV: Medidas y Acciones Mínimas de Adaptación. Artículo 22.\nInc. b) y d).
Medida,[SA-06] Fortalecer la capacidad del sector salud para reducir los\nriesgos relacionados con los eventos de temperatura extrema\n(de calor y de frío)
Descripción,"Implementación y sostenimiento de planes de prevención de riesgos\npara la salud asociados a eventos de temperatura extrema (de calor y\nde frío), con énfasis en las poblaciones en situación de mayor\nvulnerabilidad (mujeres y LGBTI+, niñas y niños, personas mayores,\naquellas con enfermedades crónicas y las laboralmente expuestas)."
Metas,A definir
Alcance geográfico o poblacional,Nacional
"Adaptación, mitigación o pérdidas y daños",Adaptación
Riesgos climáticos asociados,"La medida aborda los riesgos para la salud asociados a los cambios en\nla frecuencia, duración e intensidad de eventos climáticos extremos de\ncalor y frío, fortaleciendo a las poblaciones de mayor vulnerabilidad a\ntravés de planes de prevención de riesgos."
Reducción estimada de emisiones al 2030 (MtCO2e),N/A
